| 18 May | Tue | [Bakrid / Eid al Adha Holiday](https://publicholidays.in/bakrid-idul-zuha/) | JK |
| 20 May | Thu | [Buddha Purnima](https://publicholidays.in/buddha-purnima/) | AN, AR, CG, CH, DL,HP, JH, JK, MH, MP,MZ, OR, TR, UK, UP& WB |
| 25 May | Tue | [Kazi Nazrul Islam Jayanti](https://publicholidays.in/kazi-nazrul-islam-jayanti/) | TR |
| 7 Jun | Mon | [Maharana Pratap Jayanti](https://publicholidays.in/maharana-pratap-jayanti/) | HP, HR & RJ |
| 8 Jun | Tue | Sri Guru Arjun Dev Ji's Martyrdom Day | PB |
| 14 Jun | Mon | Pahili Raja | OR |
| 15 Jun | Tue | Raja Sankranti | OR |
| 15 Jun | Tue | YMA Day | MZ |
| 15 Jun | Tue | [Muharram](https://publicholidays.in/muharram/) | National except AR, AS, CH,DN, DD, GA, HR, KL,MN, ML, NL, PY, PB,SK & UK |
| 18 Jun | Fri | [Sant Guru Kabir Jayanti](https://publicholidays.in/sant-guru-kabir-jayanti/) | CG, HP, HR & PB |
| 18 Jun | Fri | Saga Dawa | SK |
| 20 Jun | Sun | Guru Hargobind Ji's Birthday | JK |
| 30 Jun | Wed | Remna Ni | MZ |
| 5 Jul | Mon | [Ratha Yathra](https://publicholidays.in/ratha-yathra/) | OR |
| 6 Jul | Tue | MHIP Day | MZ |
| 11 Jul | Sun | Kharchi Puja | TR |
| 13 Jul | Tue | Martyrs' Day | JK |
| 13 Jul | Tue | Bhanu Jayanti | SK |
| 17 Jul | Sat | U Tirot Sing Day | ML |
| 28 Jul | Wed | Ker Puja | TR |
| 31 Jul | Sat | Shaheed Udham Singh's Martyrdom Day | HR |
| 2 Aug | Mon | Bonalu | TG |
| 2 Aug | Mon | Karkidaka Vavu | KL |
| 8 Aug | Sun | Tendong Lho Rum Faat | SK |
| 13 Aug | Fri | Patriots Day | MN |
| 15 Aug | Sun | [Independence Day](https://publicholidays.in/independence-day/) | National |
| 15 Aug | Sun | [Parsi New Year](https://publicholidays.in/parsi-new-year/) | DD, DN, GJ & MH |
| 15 Aug | Sun | [Eid e Milad](https://publicholidays.in/milad-un-nabi/) | National except AN, AR, AS,BR, GA, HR, HP, ML,PB, SK & WB |
| 16 Aug | Mon | Jhulan Purnima | OR |
| 16 Aug | Mon | De Jure Transfer Day | PY |
| 17 Aug | Tue | [Raksha Bandhan](https://publicholidays.in/raksha-bandhan/) | CG, DD, DN, GJ, HR,MP, RJ, UK & UP |
| 17 Aug | Tue | [Sree Narayana Guru Jayanti](https://publicholidays.in/sree-narayana-guru-jayanti/) | KL |
| 20 Aug | Fri | [Friday Following Eid e Milad](https://publicholidays.in/milad-un-nabi/) | JK |
| 25 Aug | Wed | [Janmashtami](https://publicholidays.in/janmashtami/) | National except AR, AS, GA,KA, KL, LD, MH, MZ,PY & WB |
| 2 Sep | Thu | Tithi of Srimanta Shankardev | AS |
| 3 Sep | Fri | [Haryali Teej](https://publicholidays.in/teej/) | HR |
| 3 Sep | Fri | Hartalika Teej | CG & SK |
| 4 Sep | Sat | [Ganesh Chaturthi](https://publicholidays.in/ganesh-chaturthi/) | AP, DD, DN, GA, GJ,KA, MH, PY, TG &TN |
| 5 Sep | Sun | Nuakhai | OR |
| 5 Sep | Sun | [Ganesh Chaturthi Holiday](https://publicholidays.in/ganesh-chaturthi/) | GA |
| 10 Sep | Fri | [Ramdev Jayanti](https://publicholidays.in/ramdev-jayanti/) | RJ |
| 10 Sep | Fri | Teja Dashmi | RJ |
| 11 Sep | Sat | [First Onam](https://publicholidays.in/onam/) | KL |
| 12 Sep | Sun | [Thiruvonam](https://publicholidays.in/onam/) | KL |
| 15 Sep | Wed | Indra Jatra | SK |
| 15 Sep | Wed | Pang Lhabsol | SK |
| 21 Sep | Tue | Sree Narayana Guru Samadhi | KL |
| 23 Sep | Thu | Heroes' Martyrdom Day | HR |
| 29 Sep | Wed | [Mahalaya Amavasye](https://publicholidays.in/mahalaya-amavasye/) | KA, OR, TR & WB |
| 30 Sep | Thu | First Day of Bathukamma | TG |
| 30 Sep | Thu | [Ghatasthapana](https://publicholidays.in/ghatasthapana/) | RJ |
| 1 Oct | Fri | [Maharaja Agrasen Jayanti](https://publicholidays.in/maharaja-agrasen-jayanti/) | HR & PB |
| 2 Oct | Sat | [Gandhi Jayanti](https://publicholidays.in/mahatma-gandhis-birthday/) | National |
| 6 Oct | Wed | [Maha Saptami](https://publicholidays.in/durga-puja/) | AS, OR, SK, TR &WB |
| 8 Oct | Fri | [Maha Ashtami](https://publicholidays.in/durga-puja/) | AP, AR, AS, DD, DN,JH, MN, OR, RJ, SK,TG, TR & WB |
| 9 Oct | Sat | [Maha Navami](https://publicholidays.in/durga-puja/) | AS, BR, JH, KA, KL,ML, NL, OR, PY, SK,TN, TR & WB |
| 10 Oct | Sun | [Vijaya Dashami](https://publicholidays.in/durga-puja/) | National except DN, DD, MN& PY |
| 10 Oct | Sun | Janmostav of Srimanta Shankardev | AS |
| 15 Oct | Fri | [Maharishi Valmiki Jayanti](https://publicholidays.in/maharishi-valmiki-jayanti/) | CH, HP, HR, KA, MP& PB |
| 18 Oct | Mon | Kati Bihu | AS |
| 29 Oct | Fri | [Lakshmi Puja](https://publicholidays.in/lakshmi-puja/) | OR, TR & WB |
| 29 Oct | Fri | [Deepavali](https://publicholidays.in/diwali-deepavali/) | AP, GA, KA, KL, PY,TG & TN |
| 29 Oct | Fri | [Diwali](https://publicholidays.in/diwali-deepavali/) | National except AP, GA, KA,KL, PY, TN & TG |
| 30 Oct | Sat | [Deepavali Holiday](https://publicholidays.in/diwali-deepavali/) | HR, KA, MH, RJ &UK |
| 30 Oct | Sat | Vikram Samvat New Year | GJ |
| 30 Oct | Sat | Govardhan Puja | UP |
| 31 Oct | Sun | [Bhai Dooj](https://publicholidays.in/bhai-dooj/) | GJ, RJ, SK, UK &UP |
| 31 Oct | Sun | Ningol Chakkouba | MN |
| 31 Oct | Sun | Sardar Vallabhbhai Patel Jayanti | GJ |
| 1 Nov | Mon | Kut | MN |
| 1 Nov | Mon | [Puducherry Liberation Day](https://publicholidays.in/puducherry-liberation-day/) | PY |
| 1 Nov | Mon | [Haryana Day](https://publicholidays.in/haryana-day/) | HR |
| 1 Nov | Mon | Kannada Rajyothsava | KA |
| 4 Nov | Thu | [Chhath Puja](https://publicholidays.in/chhath-puja/) | BR, CG, DD, DN &JH |
| 5 Nov | Fri | [Chhath Puja Holiday](https://publicholidays.in/chhath-puja/) | BR |
| 12 Nov | Fri | Wangala Festival | ML |
| 14 Nov | Sun | [Karthika Purnima](https://publicholidays.in/karthika-purnima/) | OR & TG |
| 14 Nov | Sun | [Guru Nanak Jayanti](https://publicholidays.in/guru-nanak-jayanti/) | National except AP, AS, BR,DN, DD, GA, KA, KL,MN, ML, OR, PY, SK,TN & TR |
| 16 Nov | Tue | [Kanakadasa Jayanti](https://publicholidays.in/kanakadasa-jayanti/) | KA |
| 16 Nov | Tue | Shahidi Diwas S. Kartar Singh Sarabha Ji | PB |
| 20 Nov | Sat | Lhabab Duchen | SK |
| 23 Nov | Tue | Seng Kut Snem | ML |
| 1 Dec | Wed | Indigenous Faith Day | AR |
| 3 Dec | Fri | Sri Guru Teg Bahadur Ji's Martyrdom Day | PB |
| 3 Dec | Fri | Feast of St Francis Xavier | GA |
| 12 Dec | Sun | [Hazrat Ali Jayanti](https://publicholidays.in/hazrat-ali-jayanti/) | UP |
| 12 Dec | Sun | Pa Togan Nengminza Sangma | ML |
| 14 Dec | Tue | Sakewa | SK |
| 18 Dec | Sat | Death Anniversary of U SoSo Tham | ML |
| 18 Dec | Sat | [Guru Ghasidas Jayanti](https://publicholidays.in/guru-ghasidas-jayanti/) | CG |
| 19 Dec | Sun | Liberation Day | DD & GA |
| 24 Dec | Fri | [Christmas Holiday](https://publicholidays.in/christmas/) | ML & MZ |
| 25 Dec | Sat | [Christmas Day](https://publicholidays.in/christmas/) | National |
| 26 Dec | Sun | [Shaheed Udham Singh Jayanti](https://publicholidays.in/shaheed-udham-singh-jayanti/) | HR |
| 26 Dec | Sun | [Christmas Holiday](https://publicholidays.in/christmas/) | ML, MZ & TG |
| 27 Dec | Mon | [Christmas Holiday](https://publicholidays.in/christmas/) | ML |
| 28 Dec | Tue | Losoong Namsoong | SK |
| 28 Dec | Tue | Shaheedi Sabha | PB |
| 29 Dec | Wed | Losoong Namsoong | SK |
| 30 Dec | Thu | Losoong Namsoong | SK |
| 30 Dec | Thu | U Kiang Nangbah | ML |
| 30 Dec | Thu | Tamu Losar | SK |
| 31 Dec | Fri | Losoong Namsoong | SK |
| 31 Dec | Fri | [New Year's Eve](https://publicholidays.in/new-years-day/) | MN & MZ |
